第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
他的意识中一片空白，只有倒计时在那暗红的背景辐射上显现着，跳动着，他自己仿佛变成了一个单纯的计时器，一口不知道为谁而呜的丧钟。	Dans son esprit vide ne demeurait que l'image du compte à rebours suspendu devant le fond diffus cosmologique rouge sombre et rapetissant jusqu'à prendre la taille d'un simple petit minuteur, un glas dont on ignorait pour qui il sonnait.
天亮了起来，他走累了，在一条长椅上坐下来。	Le jour se leva. Il était fatigué de marcher et s'assit sur un banc.
当他抬头看看自己下意识走到的目的地时，不由打了个寒颤。	Quand il leva la tête pour voir où l'avait mené son subconscient, il ne put retenir un frisson.
他正坐在王府井天主教堂前。	Il était assis devant l'église Saint-Joseph de Wangfujing.
在黎明惨白的天空下，教堂的罗马式尖顶像三根黑色的巨指，似乎在为他指出冥冥太空中的什么东西。	Sous la lueur encore pâle du matin, les trois clochers de style roman apparaissaient comme trois gigantesques doigts noirs désignant quelque chose d'invisible dans le ciel.
汪淼起身要走，一阵从教堂传出的圣乐留住了他。	Wang Miao se leva pour s'en aller, mais un chant sacré émanant de l'église le retint.
今天不是礼拜日，这可能是唱诗班为复活节进行的排练，唱的是这个节日弥撒中常唱的《圣灵光照》。	Ce n'était pourtant pas dimanche. La chorale répétait peut-être en prévision de Pâques, car le refrain en question était celui d'un chant souvent utilisé durant cette fête : "Tenir une lampe allumée".
在圣乐的庄严深远中，汪淼再次感到宇宙变小了，变成了一座空旷的教堂，穹顶隐没于背景辐射闪烁的红光中，他则是这宏伟教堂地板砖缝中的一只小蚂蚁。	Alors qu'il entendait ce chant solennel et lointain, Wang Miao sentit à nouveau l'univers se rétrécir. Il était désormais devenu une église déserte dont le dôme s'éclipsait derrière la lumière rouge et clignotante du fond cosmologique, tandis que lui, fourmi insignifiante, rampait entre les fissures du plancher.
他感觉到自己那颗颤抖的心灵被一只无形的巨手抚摸着，一时间又回到了脆弱无助的孩童时代，意识深处硬撑着的某种东西像蜡一样变软了，崩溃了。	Il sentait une colossale main invisible caresser son cœur trépidant. Tout à coup, il redevenait un enfant faible et vulnérable. Dans les profondeurs de sa conscience, quelque chose de dur s'était ramolli, comme de la cire brûlée.
他双手捂着脸哭了起来。	Il prit son visage entre les mains et se mit à pleurer.
“哈哈哈，又放倒了一个！”	— Ha ha ha ha, encore un qui craque !
汪淼的哭泣被身后的一阵笑声打断，他扭头一看，大史站在那里，嘴里吐出一口白烟。	Un éclat de rire interrompit les lamentations de Wang Miao. Il tourna la tête. Shi Qiang était debout derrière lui, crachant la fumée blanche de sa cigarette.
10.大史	CHAPITRE10: SHI QIANG
大史在汪淼身边坐下了，将一把车钥匙递给他，“东单口儿上就随便停车，我晚一步就让交警拖走了。”	Shi Qiang s'assit à côté de Wang Miao. Il lui tendit ses clefs de voiture : — Elle était garée au carrefour de Dongdan. Un peu plus et c'était la fourrière.
大史啊，要知道你一直跟在我后面，我至少会有些安慰的。	Ah, Shi Qiang, vous savoir derrière moi me réconforte au moins un peu, pensa Wang Miao.
汪淼心里说，但自尊使他没将这话说出口。	Mais par dignité, il ne prononça pas cette phrase à haute voix.
他接过大史递过来的一枝烟，点上后，抽了戒烟几年后的第一口。	Il accepta la cigarette que lui proposait Shi Qiang. Sa première bouffée après des années de sevrage.
“怎么样老弟，扛不住了吧？	— Que vous arrive-t-il, mon vieux ? Vous flanchez, hein ?
我说你不成吧，你还硬充六根脚指头。”	Je vous avais prévenu, mais vous n'avez voulu en faire qu'à votre tête.
“你不会明白的。” 汪淼猛抽几口烟说。	— Vous ne comprendriez pas, dit Wang Miao en tirant furieusement sur la cigarette.
“我是太明白了……那好，去吃饭吧。”	— Votre problème à vous, c'est que vous comprenez trop bien… Bon, allons casser une graine.
“我不想吃。”	— Je n'ai pas faim.
“那去喝酒，我请你！”	— Bon, alors, allons boire un coup, c'est moi qui invite.
汪淼于是上了大史的车，开到附近一家小饭店，天还早，店里没什么人。	Wang Miao monta dans la voiture de Shi Qiang, qui le conduisit dans un petit restaurant non loin de là, à cette heure si matinale, l'endoit était désert.
“二斤爆肚，一瓶二锅头！”	— Deux portions de tripes de porc frites !
大史喊道，头也不抬，显然对这儿很熟了。	Deux bouteilles d'erguotou ! cria Shi Qiang sans lever la tête, il paraissait manifestement familier des lieux.
看到端上来的两大盘黑乎乎的东西，汪淼空空的胃翻腾起来，差点吐出来。	En voyant arriver deux assiettes remplies d'une pitance noirâtre, Wang Miao eut l'estomac retourné, il manqua presque de vomir.
大史又给他要豆浆和油条，汪淼强迫自己吃了点儿，然后和大史一杯接一杯地喝了起来。	Shi Qiang lui commanda un verre de lait de soja chaud et une portion de beignets frits dont Wang Miao avala à contrecœur quelques bouchées, puis ils commencèrent à boire verre sur verre.
他感觉自己轻飘飘的，话也多了起来，将这三天的事情全部向大史说了，虽然他清楚，大史可能都知道，甚至知道的比他还多。	Il se sentait devenir plus léger et l'alcool aidant, il raconta au commissaire tout ce qui s'était passé ces trois derniers jours, bien qu'il soit conscient que celui-ci était probablement déjà au fait de tout – peut-être même en savait-il davantage que lui.
“你是说，宇宙在冲你眨巴眼儿？” 大史像吃面条似的吞下半盘爆肚，抬头问。	— Vous voulez dire que l'univers vous faisait des clins d'œil ? demanda Shi Qiang en levant la tête de son assiette et en aspirant les tripes comme des nouilles.
“这比喻很到位。”	— C'est une métaphore appropriée.
“扯淡。”	— Conneries !
“你的无畏来源于无知。”	— Votre sang-froid provient de votre ignorance.
“还是扯淡，来，干！”	— Encore des conneries, allez, cul sec !
	Wang Miao finit son verre.
汪淼干了这杯后，感觉世界围绕着自己旋转，只有对面吃爆肚的大史很稳定，他说：“大史啊，你——考虑过一些终极的哲学问题吗？	Désormais, le monde tournait autour de lui comme un manège. Le seul à garder un semblant d'équilibre était Shi Qiang en train de dévorer ses tripes en face de lui. — Shi Qiang ! Avez-vous déjà… réfléchi à des questions philosophiques ultimes ?
哦，比如说，人类从哪里来，要到哪里去；宇宙从哪里来，要到哪里去之类的。”	Par exemple, d'où vient l'humanité, où va-t-elle ? D'où vient l'univers, où va-t-il ? Ce genre de questions ?
“没有。”	— Non.
“从来没有？”	— Jamais ?
“从来没有。”	— Jamais.
“你总看到过星空吧，难道没有产生过一点敬畏和好奇？”	— Vous regardez quand même les étoiles, n'est-ce pas ? Elles ne vous ont jamais inspiré de l'admiration ou de la curiosité ?
“我夜里从不看天。”	— La nuit, je ne regarde pas le ciel.
“怎么可能呢？	— Comment est-ce possible ?
你们不是常上夜班吗？”	Je croyais que vous travailliez souvent la nuit ?
“老弟，我夜里蹲点时要是仰头看天，那监视对象溜了怎么办？”	— Mon vieux, si je levais la tête vers le ciel quand je bosse, qui attraperait les suspects ?
“我们真没的谈，干！”	— On ne peut vraiment pas avoir de discussion avec vous. Allez, cul sec !
“其实啊，我就是看天上的星星也不会去想你那些终极哲学，我要操心的事儿多着呢，要供房子，孩子还要上大学，更不要提那没完没了的案子……我是个一眼能从嘴巴看到屁眼的直肠子，自然讨不得领导欢心，退伍后混了多少年还是这么个熊样儿，要不是能干活，早让人踹出去了……这些还不够我想的，我还有心思看星星想哲学？”	— En fait, même si je regardais les étoiles, je ne me torturerais pas l'esprit avec ces questions philosophiques, j'ai déjà suffisamment de soucis comme ça : le remboursement de mon prêt immobilier, le gamin qui va entrer à l'université, sans parler des enquêtes qui n'en finissent pas… Je suis un homme simple et direct, on voit mon cul au fond de ma gorge. Naturellement, je me fous bien de savoir si mes chefs m'apprécient. Ça fait des années que je suis comme ça, depuis que j'ai été démobilisé de l'armée…
“那倒也是，来，干！”	Si je n'étais pas bon dans mon boulot, ça fait longtemps qu'on m'aurait foutu dehors… J'ai bien d'autres préoccupations. Vous croyez que j'ai encore le temps de m'intéresser à la philosophie ? — Vous avez raison.
“不过啊，我倒还真发明了一条终极定理。”	Trinquons. — Mais ça ne m'a pas empêché d'inventer une théorie ultime.
“说说。”	— Dites-moi.
“邪乎到家必有鬼。”	— Quand il y a une embrouille, c'est forcément qu'il y a un loup.
“你这是……什么狗屁定理！”	— Qu'est-ce que… c'est que cette théorie à la con ?
“我说的‘有鬼’是指没有鬼，是有人在捣鬼。”	— Quand je dis qu'il y a "un loup", je veux dire par là qu'il y a forcément quelqu'un derrière qui tire les ficelles.
“如果你有些起码的科学常识，就无法想象是怎样的力量才能做成这两件事，特别是后一件，在整个宇宙的尺度上，不但用人类现有的科学无法解释，甚至在科学之外我都无法想象。	— Si vous aviez un minimum de connaissances scientifiques, vous sauriez qu'aucune force n'est capable de réaliser ces deux exploits. Surtout le dernier. Contrôler les choses à l'échelle de l'univers ! Non seulement l'état des sciences actuel ne permet pas de l'expliquer, mais je n'arrive pas à concevoir une autre explication, même surnaturelle.
